Author Name,Total Publication,Total Citation,Total Years,Cite/Year,Cite/Paper,h index,g index,h(2) index,w index,h core citation,m index,f index,t index,tappered_h_index,Maxprod,wu index,pi index,weighted h index,woginger_index,Gh_index,Rm index,X index,h2upper_index,h2 center_index,h2 lower_index,k dash index,i10 index,normalized_h_index,platinium_h_index,m_qoutient_index,HI_index,AW_index,Ar index,V index,hm_index,hf index,gf index,gF index,hi index,h_m_index,k norm index,w norm index,gm index,A index,R index,P index,q2 index,e index,hg_index,pure h index,fractional g index,fractional h index,AWCR,Author/paper,cites/author,paper/author,k index,h dash index,hl norm,hc index,ha index,hi index s,Rational h index,Real h index,Class
FJ CIRRE,1,2,0,2,2,1,1,1,0,2,2,1,1,2,2,1,0.02,1.414213562,1,1,1.189207115,1,50,50,0,0,0,1,2,1,1,1.414213562,1.414213562,0.016949153,1,1,1,1,1,1,1.5,1.5,1,2,1.414213562,2,1.414213562,1,1,1,1,1,0.033898305,1,2,1,1,1,1,0,0,1,1.333333333,-3,0
T DISTRIBUTIFS,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,1,1,0
B Davvaz,1,2,0,2,2,1,1,1,0,2,2,1,1,2,2,1,0.02,1.414213562,1,1,1.189207115,1,50,50,0,0,0,1,2,1,1,1.414213562,1.414213562,0.03030303,1,1,1,1,1,1,1.5,1.5,1,2,1.414213562,2,1.414213562,1,1,1,1,1,0.060606061,1,2,1,1,1,1,0,0,1,1.333333333,-3,0
V Rokhiin,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,1,1,0
S Sedwards,1,2,0,2,2,1,1,1,0,2,2,1,1,2,2,1,0.02,1.414213562,1,1,1.189207115,1,50,50,0,0,0,1,2,1,0.2,1.414213562,1.414213562,0.05,0.2,1,1,1,0.2,0.2,1.5,1.5,1,2,1.414213562,2,1.414213562,1,1,0.447213595,1,0,0.1,5,0.4,0.2,1,1,0,0,0,0.2,1.333333333,-3,0
K Aarikka,1,3,0,3,3,1,1,1,0,3,3,1,1,2,3,1,0.03,1.732050808,1,1,1.316074013,1,66.66666667,33.33333333,0,0,0,1,3,1,0.5,1.732050808,1.732050808,0.027027027,0.5,1,1,1,0.5,0.5,1.666666667,1.666666667,1,3,1.732050808,3,1.732050808,2,1,0.707106781,1,1,0.081081081,2,1.5,0.5,1,2,1,0,0,0.5,1,-2,0
W Obserschelp,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,4,0,0.25,0,0,0,0,0,0,1,1,0
M vanFrankenhuysen,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,1,1,0
R.O.  Jozsa,1,2,0,2,2,1,1,1,0,2,2,1,1,2,2,1,0.02,1.414213562,1,1,1.189207115,1,50,50,0,0,0,1,2,1,0.333333333,1.414213562,1.414213562,0.020408163,0.333333333,1,1,1,0.333333333,0.333333333,1.5,1.5,1,2,1.414213562,2,1.414213562,1,1,0.577350269,1,0,0.040816327,3,0.666666667,0.333333333,1,1,0,0,0,0.333333333,1.333333333,-3,1
U.L.  Tillmann,1,4,0,4,4,1,1,1,0,4,4,1,1,2,4,1,0.04,2,1,1,1.414213562,1,75,25,0,0,0,1,4,1,0.333333333,2,2,0.052631579,0.333333333,1,1,1,0.333333333,0.333333333,1.75,1.75,1,4,2,4,2,3,1,0.577350269,1,1,0.210526316,3,1.333333333,0.333333333,1,3,1,0,0,0.333333333,0.666666667,-1.666666667,1
Y AbuMuhanna,2,5,9,0.555555556,1.666666667,2,2,1,0,3,3,2,2,2.666666667,4,2,0.03,1.732050808,2,2,1.773771228,1.414213562,20,80,0,0,0,1,0.555555556,0.222222222,0.8,2.236067977,2.236067977,0.1,0.833333333,2,2,2,0.8,0.833333333,1.666666667,1.8,2,1.5,1.732050808,2.5,2.449489743,-1,2,1.264911064,1,1,0.372727273,2.5,2,0.833333333,0.5,-1,1,1,0,0.8,2.6,-3,0
MRC PREDRAG,2,0,17,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0.833333333,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,2.5,0,0.833333333,0,0,0,0,0,0,1,1,0
T KATRINYAK,2,2,4,0.5,0.666666667,1,1,1,0,2,2,2,1,2,2,1,0.02,1.414213562,1,1,1.189207115,1,50,50,0,0,0,0.5,0.25,0.25,0.285714286,1.414213562,1.414213562,0.026315789,0.333333333,1,2,2,0.333333333,0.333333333,1,1,2,2,1.414213562,1,1.414213562,1,1,0.577350269,0,0,0.052631579,3.5,0.666666667,0.583333333,0.5,1,0,0,0,0.333333333,2.666666667,1,0
OF EPIMORPHISMS,2,0,23,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0
XRN Colloquium,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0.833333333,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,2.5,0,0.833333333,0,0,0,0,0,0,1,1,0
I.B.  Leader,2,1,9,0.111111111,0.333333333,1,1,1,0,0,0,2,1,1,1,1,0.01,1,0,1,1,1,0,100,0,0,0,0.5,0.055555556,0.111111111,0.333333333,1,1,0.029411765,0.2,1,1,2,0.2,0.2,-1,-1,0.2,0,0,0.5,0,-1,1,0.447213595,0,0,0.04,3,0.2,1.2,0.5,-1,0,0,0,0.2,2.333333333,1,1
Leslie F Greengard,2,14,1,14,4.666666667,2,2,2,0,14,7,2,2,3,10,2,0.09,3,2,2,2.288245611,1.414213562,71.42857143,28.57142857,0,0,0,1,14,2,2,3.741657387,3.741657387,0.055555556,2,2,2,2,2,2,2.714285714,2.714285714,2,7,3.741657387,7,3.741657387,10,2,2,2,2,0.396031746,1,14,2,0.5,10,2,1,0,2,2,-1.5,1
Nikolai E.  Mnev,2,15,1,15,5,2,2,2,0,15,7.5,2,2,3,12,2,0.09,3,2,2,2.334414218,1.414213562,73.33333333,26.66666667,0,0,0,1,15,2,2,3.872983346,3.872983346,0.052631579,2,2,2,2,2,2,2.733333333,2.733333333,2,7.5,3.872983346,7.5,3.872983346,11,2,2,2,2,0.399004267,1,15,2,0.5,11,2,0,0,2,1.8,-1.4,1
P.M.  Topping,2,64,194,0.329896907,21.33333333,2,2,1,1,62,62,2,2,2.666666667,62,2,0.62,7.874007874,2,2,3.047658353,1,93.75,6.25,0,0,1,1,0.329896907,0.010309278,1.333333333,8,8,0.009090909,1.5,2,2,2,1.333333333,1.5,1.983870968,1.984375,2,31,7.874007874,32,11.13552873,58,2,1.632993162,2,1,2.393706294,1.5,63,1.5,0.5,58,1,1,1,1.333333333,2.6,-3,1
SD Eriksson-Bique,3,52,5,10.4,8.666666667,2,3,1,1,50,50,3,3,2.666666667,50,2,0.5,7.071067812,2,2,2.91295063,1,92.30769231,7.692307692,0,0,1,0.666666667,6.933333333,0.4,0.857142857,7.211102551,7.211102551,0.181818182,1.2,3,3,3,0.666666667,1.2,2.923076923,2.923076923,3,25,7.071067812,17.33333333,10,46,2.449489743,1.154700538,3,2,4.878787879,2.333333333,12,2.2,0.333333333,30.66666667,2,1,1,0.666666667,3.4,1,0
VY Plisko,3,4,12,0.333333333,0.666666667,2,2,1,0,2,2,3,2,2.666666667,4,2,0.02,2,1,2,1.681792831,1.414213562,0,100,0,0,0,0.666666667,0.222222222,0.166666667,1,2,1.414213562,0.05,1,2,2,3,1,1,1.5,1.75,3,1,1.414213562,1.333333333,2,-2,2,1.414213562,1,1,0.142857143,2,2,1.5,0.333333333,-2,1,0,0,1,3.4,1,0
M Teixido-Roman,3,13,1,13,2.166666667,1,3,1,1,13,13,3,2,2,13,1,0.13,3.605551275,1,1,1.898828922,1,92.30769231,7.692307692,-7.692307692,0,1,0.333333333,4.333333333,1,0.75,3.605551275,3.605551275,0.083333333,1,2,3,3,1,1,1.923076923,1.923076923,3,13,3.605551275,4.333333333,3.605551275,12,1.732050808,1,3,1,1.083333333,1.333333333,13,2.5,0.333333333,6,1,1,1,1,6.333333333,1,0
KS Kedlaya,3,4,180,0.022222222,0.666666667,2,2,1,0,2,2,3,2,2.666666667,4,2,0.02,2,1,2,1.681792831,1.414213562,0,100,0,0,0,0.666666667,0.014814815,0.011111111,1,2,2,0.009433962,1.333333333,2,2,3,1,1.333333333,1.5,1.75,3,1,1.414213562,1.333333333,2,-2,2,1.414213562,0,2,0.071933962,2,2.666666667,1.833333333,0.333333333,-2,1,0,0,1,3.4,1,0
